var,value,layer
Ca_ex,0.1188000,1
Ca_ex,0.0213800,2
Ca_ex,0.0735800,3
Ca_ex,0.0189100,4
Ca_ex,0.0189100,5
Ca_ex,0.0189100,6
Ca_ex,0.0591900,7
Ca_ex,0.0591900,8
Ca_ex,0.0591900,9
Ca_ex,0.0591900,10
Ca_ex,0.0591900,11
Ca_ex,0.0591900,12
Fe_ex,0.0024510,1
Fe_ex,0.0004411,2
Fe_ex,0.0015180,3
Fe_ex,0.0003902,4
Fe_ex,0.0003902,5
Fe_ex,0.0003902,6
Fe_ex,0.0007822,7
Fe_ex,0.0007822,8
Fe_ex,0.0007822,9
Fe_ex,0.0007822,10
Fe_ex,0.0007822,11
Fe_ex,0.0007822,12
K_ex,0.0015700,1
K_ex,0.0002825,2
K_ex,0.0009723,3
K_ex,0.0002499,4
K_ex,0.0002499,5
K_ex,0.0002499,6
K_ex,0.0007822,7
K_ex,0.0007822,8
K_ex,0.0007822,9
K_ex,0.0007822,10
K_ex,0.0007822,11
K_ex,0.0007822,12
Mg_ex,0.0213100,1
Mg_ex,0.0038350,2
Mg_ex,0.0132000,3
Mg_ex,0.0033930,4
Mg_ex,0.0033930,5
Mg_ex,0.0033930,6
Mg_ex,0.0106200,7
Mg_ex,0.0106200,8
Mg_ex,0.0106200,9
Mg_ex,0.0106200,10
Mg_ex,0.0106200,11
Mg_ex,0.0106200,12
Na_ex,0.0015960,1
Na_ex,0.0002872,2
Na_ex,0.0009888,3
Na_ex,0.0002541,4
Na_ex,0.0002541,5
Na_ex,0.0002541,6
Na_ex,0.0007954,7
Na_ex,0.0007954,8
Na_ex,0.0007954,9
Na_ex,0.0007954,10
Na_ex,0.0007954,11
Na_ex,0.0007954,12
