var,value,layer
Pyrite,0.06290,1
Pyrite,0.02220,2
Pyrite,0.09990,3
Pyrite,0.01295,4
Pyrite,0.01295,5
Pyrite,0.01295,6
Pyrite,0.13135,7
Pyrite,0.13135,8
Pyrite,0.13135,9
Pyrite,0.13135,10
Pyrite,0.13135,11
Pyrite,0.13135,12
Orgmatter,2.410781,1
Orgmatter,0.3873438,2
Orgmatter,1.445313,3
Orgmatter,0.1907813,4
Orgmatter,0.1907813,5
Orgmatter,0.1907813,6
Orgmatter,1.925156,7
Orgmatter,1.925156,8
Orgmatter,1.925156,9
Orgmatter,1.925156,10
Orgmatter,1.925156,11
Orgmatter,1.925156,12
Ferrihydrite,0,1
Ferrihydrite,0,2
Ferrihydrite,0,3
Ferrihydrite,0,4
Ferrihydrite,0,5
Ferrihydrite,0,6
Ferrihydrite,0,7
Ferrihydrite,0,8
Ferrihydrite,0,9
Ferrihydrite,0,10
Ferrihydrite,0,11
Ferrihydrite,0,12
