obsid,variable,time,value,units,x,y,layer
wp1-f1,O0,0.0,0.000475,mol_l,-38,0,11
wp1-f1,O0,112.052,0.00014375,mol_l,-38,0,11
wp1-f1,O0,140.015,0.000125,mol_l,-38,0,11
wp1-f1,O0,196.054,0.00015,mol_l,-38,0,11
wp1-f1,O0,518.054,0.0001375,mol_l,-38,0,11
wp1-f2,O0,0.0,1.5625e-05,mol_l,-38,0,7
wp1-f2,O0,112.05,4.375e-05,mol_l,-38,0,7
wp1-f2,O0,126.062,1.5625e-05,mol_l,-38,0,7
wp1-f2,O0,140.021,1.5625e-05,mol_l,-38,0,7
wp1-f2,O0,196.056,1.5625e-05,mol_l,-38,0,7
wp1-f2,O0,252.01,1.5625e-05,mol_l,-38,0,7
wp1-f2,O0,336.056,1.5625e-05,mol_l,-38,0,7
wp1-f2,O0,455.046,3.75e-05,mol_l,-38,0,7
wp1-f2,O0,518.058,5.625e-05,mol_l,-38,0,7
wp1-f2,O0,574.048,3.125e-05,mol_l,-38,0,7
wp1-f2,O0,618.017,3.125e-05,mol_l,-38,0,7
wp1-f2,O0,644.087,3.125e-05,mol_l,-38,0,7
wp1-f2,O0,700.062,3.125e-05,mol_l,-38,0,7
wp1-f2,O0,756.042,3.125e-05,mol_l,-38,0,7
wp1-f2,O0,826.021,3.125e-05,mol_l,-38,0,7
wp1-f3,O0,0.0,1.5625e-05,mol_l,-38,0,4
wp1-f3,O0,6.14167,1.5625e-05,mol_l,-38,0,4
wp1-f3,O0,10.0542,1.5625e-05,mol_l,-38,0,4
wp1-f3,O0,14.1271,1.5625e-05,mol_l,-38,0,4
wp1-f3,O0,21.0562,1.5625e-05,mol_l,-38,0,4
wp1-f3,O0,28.0083,1.5625e-05,mol_l,-38,0,4
wp1-f3,O0,35.0562,1.5625e-05,mol_l,-38,0,4
wp1-f3,O0,42.0604,1.5625e-05,mol_l,-38,0,4
wp1-f3,O0,57.125,1.5625e-05,mol_l,-38,0,4
wp1-f3,O0,70.0875,3.125e-05,mol_l,-38,0,4
wp1-f3,O0,85.1333,5.625e-05,mol_l,-38,0,4
wp1-f3,O0,98.0583,6.875e-05,mol_l,-38,0,4
wp1-f3,O0,112.048,5e-05,mol_l,-38,0,4
wp1-f3,O0,140.017,1.5625e-05,mol_l,-38,0,4
wp1-f3,O0,196.052,1.5625e-05,mol_l,-38,0,4
wp1-f3,O0,252.006,1.5625e-05,mol_l,-38,0,4
wp1-f3,O0,308.062,3.125e-05,mol_l,-38,0,4
wp1-f3,O0,364.058,1.5625e-05,mol_l,-38,0,4
wp1-f3,O0,419.046,3.125e-05,mol_l,-38,0,4
wp1-f3,O0,490.044,3.125e-05,mol_l,-38,0,4
wp1-f3,O0,518.06,3.125e-05,mol_l,-38,0,4
wp1-f3,O0,609.0,3.125e-05,mol_l,-38,0,4
wp1-f3,O0,700.058,3.125e-05,mol_l,-38,0,4
wp1-f3,O0,791.01,3.125e-05,mol_l,-38,0,4
wp1-f4,O0,0.0,1.5625e-05,mol_l,-38,0,1
wp1-f4,O0,28.0063,1.5625e-05,mol_l,-38,0,1
