kper,layer,row,column,rate,Orgc,O(0),C(+4),C(-4),Ca,Cl,Fe(+2),Fe(+3),K,Mg,N(+3),N(+5),Na,S(-2),S(6),Si,Amm,N(0),Tmp,pH,pe,Ferrihydrite,Orgmatter,Ca_ex,Fe_ex,K_ex,Mg_ex,Na_ex,Pyrite
0,1,9,38,117.5,0.0001,5.19E-04,2.28E-03,0,1.77E-03,2.48E-03,0,3.58E-08,1.48E-04,3.91E-04,0,2.66E-04,1.78E-03,0,7.19E-04,1.78E-05,0,0,0.0179,7.3,4,0,0,0,0,0,0,0,0
0,2,9,38,40,0.0001,5.19E-04,2.28E-03,0,1.77E-03,2.48E-03,0,3.58E-08,1.48E-04,3.91E-04,0,2.66E-04,1.78E-03,0,7.19E-04,1.78E-05,0,0,0.0179,7.3,4,0,0,0,0,0,0,0,0
0,3,9,38,70,0.0001,5.19E-04,2.28E-03,0,1.77E-03,2.48E-03,0,3.58E-08,1.48E-04,3.91E-04,0,2.66E-04,1.78E-03,0,7.19E-04,1.78E-05,0,0,0.0179,7.3,4,0,0,0,0,0,0,0,0
0,5,9,38,95,0.0001,5.19E-04,2.28E-03,0,1.77E-03,2.48E-03,0,3.58E-08,1.48E-04,3.91E-04,0,2.66E-04,1.78E-03,0,7.19E-04,1.78E-05,0,0,0.0179,7.3,4,0,0,0,0,0,0,0,0
0,7,9,38,37.5,0.0001,5.19E-04,2.28E-03,0,1.77E-03,2.48E-03,0,3.58E-08,1.48E-04,3.91E-04,0,2.66E-04,1.78E-03,0,7.19E-04,1.78E-05,0,0,0.0179,7.3,4,0,0,0,0,0,0,0,0
1,1,9,38,117.5,0.0001,5.00E-04,2.25E-03,0,1.82E-03,2.48E-03,0,3.58E-08,1.41E-04,4.12E-04,0,2.42E-04,1.83E-03,0,8.23E-04,1.78E-05,0,0,0.0197,7.35,4,0,0,0,0,0,0,0,0
1,2,9,38,40,0.0001,5.00E-04,2.25E-03,0,1.82E-03,2.48E-03,0,3.58E-08,1.41E-04,4.12E-04,0,2.42E-04,1.83E-03,0,8.23E-04,1.78E-05,0,0,0.0197,7.35,4,0,0,0,0,0,0,0,0
1,3,9,38,70,0.0001,5.00E-04,2.25E-03,0,1.82E-03,2.48E-03,0,3.58E-08,1.41E-04,4.12E-04,0,2.42E-04,1.83E-03,0,8.23E-04,1.78E-05,0,0,0.0197,7.35,4,0,0,0,0,0,0,0,0
1,5,9,38,95,0.0001,5.00E-04,2.25E-03,0,1.82E-03,2.48E-03,0,3.58E-08,1.41E-04,4.12E-04,0,2.42E-04,1.83E-03,0,8.23E-04,1.78E-05,0,0,0.0197,7.35,4,0,0,0,0,0,0,0,0
1,7,9,38,37.5,0.0001,5.00E-04,2.25E-03,0,1.82E-03,2.48E-03,0,3.58E-08,1.41E-04,4.12E-04,0,2.42E-04,1.83E-03,0,8.23E-04,1.78E-05,0,0,0.0197,7.35,4,0,0,0,0,0,0,0,0
2,1,9,38,117.5,0.0001,5.06E-04,2.36E-03,0,1.85E-03,2.51E-03,0,3.58E-08,1.43E-04,4.12E-04,0,2.42E-04,1.87E-03,0,8.13E-04,2.85E-05,0,0,0.0203,7.3,4,0,0,0,0,0,0,0,0
2,2,9,38,40,0.0001,5.06E-04,2.36E-03,0,1.85E-03,2.51E-03,0,3.58E-08,1.43E-04,4.12E-04,0,2.42E-04,1.87E-03,0,8.13E-04,2.85E-05,0,0,0.0203,7.3,4,0,0,0,0,0,0,0,0
2,3,9,38,70,0.0001,5.06E-04,2.36E-03,0,1.85E-03,2.51E-03,0,3.58E-08,1.43E-04,4.12E-04,0,2.42E-04,1.87E-03,0,8.13E-04,2.85E-05,0,0,0.0203,7.3,4,0,0,0,0,0,0,0,0
2,5,9,38,95,0.0001,5.06E-04,2.36E-03,0,1.85E-03,2.51E-03,0,3.58E-08,1.43E-04,4.12E-04,0,2.42E-04,1.87E-03,0,8.13E-04,2.85E-05,0,0,0.0203,7.3,4,0,0,0,0,0,0,0,0
2,7,9,38,37.5,0.0001,5.06E-04,2.36E-03,0,1.85E-03,2.51E-03,0,3.58E-08,1.43E-04,4.12E-04,0,2.42E-04,1.87E-03,0,8.13E-04,2.85E-05,0,0,0.0203,7.3,4,0,0,0,0,0,0,0,0
3,1,9,38,117.5,0.0001,4.56E-04,2.44E-03,0,1.92E-03,2.86E-03,0,3.58E-08,1.64E-04,4.12E-04,0,2.50E-04,2.13E-03,0,8.13E-04,4.27E-05,0,0,0.0222,7.3,4,0,0,0,0,0,0,0,0
3,2,9,38,40,0.0001,4.56E-04,2.44E-03,0,1.92E-03,2.86E-03,0,3.58E-08,1.64E-04,4.12E-04,0,2.50E-04,2.13E-03,0,8.13E-04,4.27E-05,0,0,0.0222,7.3,4,0,0,0,0,0,0,0,0
3,3,9,38,70,0.0001,4.56E-04,2.44E-03,0,1.92E-03,2.86E-03,0,3.58E-08,1.64E-04,4.12E-04,0,2.50E-04,2.13E-03,0,8.13E-04,4.27E-05,0,0,0.0222,7.3,4,0,0,0,0,0,0,0,0
3,5,9,38,95,0.0001,4.56E-04,2.44E-03,0,1.92E-03,2.86E-03,0,3.58E-08,1.64E-04,4.12E-04,0,2.50E-04,2.13E-03,0,8.13E-04,4.27E-05,0,0,0.0222,7.3,4,0,0,0,0,0,0,0,0
3,7,9,38,37.5,0.0001,4.56E-04,2.44E-03,0,1.92E-03,2.86E-03,0,3.58E-08,1.64E-04,4.12E-04,0,2.50E-04,2.13E-03,0,8.13E-04,4.27E-05,0,0,0.0222,7.3,4,0,0,0,0,0,0,0,0
